tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2014-328;Basel;Hard;32;A;20141020;29;103819;1;;Roger Federer;R;185;SUI;33.1991786448;2;9080;103333;8;;Ivo Karlovic;R;208;CRO;35.6413415469;31;1220;7-6(8) 3-6 6-3;3;SF;102;7;3;86;55;47;22;15;1;2;33;2;85;63;53;12;15;3;4;;;;;;;;;;;;;;;;;;;;
2015-500;Halle;Grass;32;A;20150615;29;103819;1;;Roger Federer;R;185;SUI;33.8507871321;2;9165;103333;8;;Ivo Karlovic;R;208;CRO;36.2929500342;27;1250;7-6(3) 7-6(4);3;SF;;6;0;78;57;48;13;12;1;1;20;1;71;48;39;16;12;0;0;;;;;;;;;;;;;;;;;;;;
2012-580;Australian Open;Hard;128;G;20120116;108;103819;3;;Roger Federer;R;185;SUI;30.4394250513;3;8010;103333;;;Ivo Karlovic;R;208;CRO;32.8815879535;57;842;7-6(6) 7-5 6-3;5;R32;137;9;0;99;61;49;28;17;2;2;15;3;119;83;63;13;16;4;6;;;;;;;;;;;;;;;;;;;;
2012-329;Tokyo;Hard;32;A;20121001;1;104918;1;;Andy Murray;R;190;GBR;25.3826146475;3;8410;103333;;LL;Ivo Karlovic;R;208;CRO;33.5906913073;79;636;7-6(7) 6-4;3;R32;98;9;0;59;33;29;21;11;0;0;18;2;73;47;37;14;11;5;6;;;;;;;;;;;;;;;;;;;;
2014-404;Indian Wells Masters;Hard;96;M;20140306;41;104527;3;;Stanislas Wawrinka;R;183;SUI;28.9308692676;3;5650;103333;;;Ivo Karlovic;R;208;CRO;35.0088980151;51;897;6-3 7-5;3;R64;64;8;1;56;32;28;17;11;0;0;9;1;46;32;26;8;10;0;2;;;;;;;;;;;;;;;;;;;;
2015-540;Wimbledon;Grass;128;G;20150629;118;104918;3;;Andy Murray;R;190;GBR;28.1232032854;3;7450;103333;23;;Ivo Karlovic;R;208;CRO;36.3312799452;25;1385;7-6(7) 6-4 5-7 6-4;5;R16;;8;4;136;100;80;21;22;4;5;29;4;140;97;74;21;22;10;12;;;;;;;;;;;;;;;;;;;;
2012-540;Wimbledon;Grass;128;G;20120625;88;104918;4;;Andy Murray;R;190;GBR;25.1143052704;4;6980;103333;;;Ivo Karlovic;R;208;CRO;33.3223819302;59;786;7-5 6-7(5) 6-2 7-6(4);5;R64;188;11;6;127;78;66;33;22;0;1;17;9;136;83;69;24;22;3;7;;;;;;;;;;;;;;;;;;;;
2014-403;Miami Masters;Hard;96;M;20140319;49;103819;5;;Roger Federer;R;185;SUI;32.605065024;5;5045;103333;;;Ivo Karlovic;R;208;CRO;35.0472279261;53;881;6-4 7-6(4);3;R64;75;6;0;52;39;37;12;11;0;0;13;1;68;44;36;11;11;2;3;;;;;;;;;;;;;;;;;;;;
2014-337;Vienna;Hard;28;A;20141013;21;103970;1;;David Ferrer;R;175;ESP;32.5311430527;5;4585;103333;6;;Ivo Karlovic;R;208;CRO;35.6221765914;30;1265;7-6(5) 6-4;3;QF;85;5;2;62;37;32;17;11;0;0;17;5;69;49;40;9;11;2;3;;;;;;;;;;;;;;;;;;;;
2015-422;Cincinnati Masters;Hard;56;M;20150816;42;104527;5;;Stanislas Wawrinka;R;183;SUI;30.3874058864;5;5575;103333;;;Ivo Karlovic;R;208;CRO;36.4654346338;21;1575;6-7(2) 7-6(5) 7-6(5);3;R16;;8;3;132;78;62;34;18;3;3;35;7;120;80;68;23;18;3;3;;;;;;;;;;;;;;;;;;;;
2014-5014;Shanghai Masters;Hard;56;M;20141005;45;104607;6;;Tomas Berdych;R;196;CZE;29.0513347023;7;4235;103333;;;Ivo Karlovic;R;208;CRO;35.6030116359;31;1195;6-3 6-4;3;R16;65;10;0;46;29;26;14;10;0;0;19;1;52;34;26;6;9;4;6;;;;;;;;;;;;;;;;;;;;
2015-5014;Shanghai Masters;Hard;56;M;20151011;33;104745;8;;Rafael Nadal;L;185;ESP;29.3579739904;7;4060;103333;;;Ivo Karlovic;R;208;CRO;36.6187542779;21;1575;7-5 6-7(4) 7-6(4);3;R32;;4;2;110;74;58;24;18;3;4;24;5;108;71;57;19;18;2;4;;;;;;;;;;;;;;;;;;;;
2012-D040;Davis Cup WG QF: ARG vs CRO;Clay;4;D;20120406;2;105223;;;Juan Martin Del Potro;R;198;ARG;23.523613963;10;2660;103333;;;Ivo Karlovic;R;208;CRO;33.0924024641;52;872;6-2 7-6(7) 6-1;5;RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-438;Moscow;Hard;28;A;20131014;25;104755;1;;Richard Gasquet;R;185;FRA;27.3237508556;10;3060;103333;;;Ivo Karlovic;R;208;CRO;34.6255989049;86;622;6-4 7-5;3;SF;72;4;4;59;38;33;13;11;1;1;15;1;58;40;34;7;11;0;2;;;;;;;;;;;;;;;;;;;;
2013-560;US Open;Hard;128;G;20130826;77;104527;9;;Stanislas Wawrinka;R;183;SUI;28.4134154689;10;2610;103333;;Q;Ivo Karlovic;R;208;CRO;34.4914442163;79;637;7-5 7-6(8) 6-4;5;R64;137;8;5;101;61;51;25;17;1;2;12;6;108;68;52;21;17;4;7;;;;;;;;;;;;;;;;;;;;
2015-451;Doha;Hard;32;A;20150105;29;103970;4;;David Ferrer;R;175;ESP;32.7611225188;10;4045;103333;7;;Ivo Karlovic;R;208;CRO;35.8521560575;27;1320;6-7(2) 7-6(5) 7-6(4);3;SF;152;5;0;122;97;76;15;18;2;2;30;1;117;81;67;22;18;3;3;;;;;;;;;;;;;;;;;;;;
2012-403;Miami Masters;Hard;96;M;20120321;37;105223;11;;Juan Martin Del Potro;R;198;ARG;23.485284052;11;2660;103333;;;Ivo Karlovic;R;208;CRO;33.054072553;54;847;7-5 6-4;3;R64;105;6;3;59;36;32;14;11;0;0;8;2;72;41;32;15;11;5;7;;;;;;;;;;;;;;;;;;;;
2015-328;Basel;Hard;32;A;20151026;28;104755;5;;Richard Gasquet;R;185;FRA;29.3552361396;11;2580;103333;;;Ivo Karlovic;R;208;CRO;36.6570841889;23;1485;6-4 6-7(2) 7-6(6);3;QF;;6;1;101;74;57;22;17;2;2;32;4;108;75;60;19;17;3;4;;;;;;;;;;;;;;;;;;;;
